sensor_id,reference_speed_mph,reference_speed_kmh,training_start,training_end,method,provenance
773869,68.5,110.240064,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
767541,67.75,109.033056,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
767542,69.33333333333333,111.581184,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
717447,63.0,101.38867200000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
717446,67.75,109.033056,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
717445,67.375,108.429552,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
773062,67.25,108.228384,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
767620,67.0,107.82604800000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
737529,67.14285714285714,108.0559542857143,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
717816,68.88888888888889,110.86592,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
765604,65.77777777777777,105.859072,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
767471,66.88888888888889,107.647232,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
716339,66.66666666666667,107.28960000000002,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
773906,69.125,111.24590400000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
765273,65.66666666666667,105.68025600000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
716331,68.0,109.43539200000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
771667,38.111111111111114,61.33388800000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
716337,64.88888888888889,104.428544,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
769953,63.25,101.791008,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
769402,66.0,106.21670400000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
769403,69.55555555555556,111.93881600000002,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
769819,66.75,107.42371200000001,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
769405,55.666666666666664,89.586816,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
716941,65.625,105.6132,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
717578,68.66666666666667,110.50828800000002,2012-03-01T00:00:00,2012-05-23T07:05:00,sensor_p95_training_only,REAL_HISTORICAL
