sensor_id,latitude,longitude,matched_u,matched_v,matched_key,distance_m,status
773869,34.15497,-118.31829,26428271,20857671,0,2.16,MATCHED
767541,34.11621,-118.23799,577421639,382650862,0,10.29,MATCHED
767542,34.11641,-118.23819,17040712,1782812735,0,1.69,MATCHED
717447,34.07248,-118.26772,1613525409,2353109732,0,1.91,MATCHED
717446,34.07142,-118.26572,1613371800,5759331262,0,1.56,MATCHED
717445,34.06913,-118.25932,21063619,191333482,0,0.43,MATCHED
773062,34.05368,-118.23369,268539762,69004190,0,9.01,MATCHED
767620,34.13486,-118.22932,493139643,332160601,0,7.21,MATCHED
737529,34.20264,-118.47352,362708318,26819492,0,2.41,MATCHED
717816,34.15562,-118.4686,269571660,269571563,0,3.85,MATCHED
765604,34.16415,-118.38223,361463277,273607575,0,2.71,MATCHED
767471,34.15691,-118.22469,10652200,361523258,0,0.45,MATCHED
716339,34.07821,-118.28795,1614923457,8074955046,0,0.42,MATCHED
773906,34.1566,-118.30266,7664051915,1233732718,0,0.45,MATCHED
765273,34.18949,-118.47437,293827863,293828095,0,2.88,MATCHED
716331,34.07006,-118.26246,1614923140,857651200,0,0.61,MATCHED
771667,34.07314,-118.23388,21662853,1614923195,0,1.69,MATCHED
716337,34.07732,-118.28186,27390001,353511096,0,0.76,MATCHED
769953,34.20672,-118.19992,15682495,1842004390,0,2.47,MATCHED
769402,34.12095,-118.33911,2351758730,2351758618,0,3.55,MATCHED
769403,34.12073,-118.33928,74671700,1837462644,0,2.08,MATCHED
769819,34.20584,-118.19803,1687054124,316803571,0,3.51,MATCHED
769405,34.12634,-118.34482,74671700,1837462644,0,3.68,MATCHED
716941,34.05767,-118.21435,363477390,326712429,0,4.84,MATCHED
717578,34.15478,-118.27076,364873589,1686591011,0,4.35,MATCHED
716960,34.12121,-118.27164,20820632,20820633,0,0.52,MATCHED
717804,34.09478,-118.47605,338511634,122416956,0,10.73,MATCHED
767572,34.12967,-118.22871,493139640,493139643,0,4.84,MATCHED
767573,34.12964,-118.22901,361523299,1376737820,0,1.59,MATCHED
773012,34.0839,-118.22086,15261772,269598309,0,4.08,MATCHED
773013,34.08374,-118.22076,33717752,29416313,0,11.87,MATCHED
764424,34.17878,-118.39469,361458491,18154009,0,6.14,MATCHED
769388,34.11027,-118.33441,1837462644,8076753689,0,2.71,MATCHED
716328,34.06664,-118.25397,857651200,1613371778,0,1.8,MATCHED
717819,34.18784,-118.47407,293826694,631892092,0,1.71,MATCHED
769941,34.20699,-118.20237,1842004390,1376737825,0,5.52,MATCHED
760987,34.15359,-118.34043,122459534,7668301080,0,0.19,MATCHED
718204,34.15541,-118.29575,1233732679,1686584226,0,0.16,MATCHED
718045,34.06712,-118.23973,806547157,606441164,0,4.56,MATCHED
769418,34.12659,-118.34465,13016893322,2351758770,0,9.11,MATCHED
768066,34.15118,-118.3748,701954220,6354846109,0,1.76,MATCHED
772140,34.16498,-118.47493,305706226,35361216,0,2.38,MATCHED
773927,34.15262,-118.28034,1686584229,912112449,0,1.53,MATCHED
760024,34.1593,-118.46483,269574340,701936723,0,3.99,MATCHED
774012,34.14769,-118.20137,300944078,363839552,0,1.22,MATCHED
774011,34.14747,-118.20123,17589348,300944376,0,1.36,MATCHED
767609,34.18555,-118.21733,19828341,19828348,0,2.1,MATCHED
769359,34.1566,-118.42216,35361239,701940735,0,0.41,MATCHED
760650,34.07505,-118.23256,20400047,38020241,0,0.22,MATCHED
716956,34.10658,-118.25544,1686580866,20189446,0,1.21,MATCHED
769831,34.20663,-118.20101,355765824,1687054124,0,6.49,MATCHED
761604,34.15407,-118.28711,403623346,1831046483,0,2.21,MATCHED
717495,34.15664,-118.41326,701940735,361119398,0,2.23,MATCHED
716554,34.15597,-118.2666,14089534238,13890125,0,1.22,MATCHED
773953,34.15522,-118.29344,1233732679,1686584226,0,2.87,MATCHED
767470,34.15699,-118.22436,361523381,19828340,0,1.47,MATCHED
716955,34.09579,-118.24427,25274550,6872663603,0,0.06,MATCHED
764949,34.12881,-118.34684,13016893322,2351758770,0,2.81,MATCHED
773954,34.15544,-118.29344,338935762,7664051915,0,2.27,MATCHED
767366,34.21216,-118.47341,593060800,362708318,0,1.08,MATCHED
769444,34.15555,-118.43908,370197605,305537117,0,2.11,MATCHED
773939,34.15297,-118.37226,299528406,361468272,0,2.03,MATCHED
774067,34.15362,-118.28441,1377536917,338935592,0,0.48,MATCHED
769443,34.15574,-118.43931,305537102,374409516,0,0.72,MATCHED
767750,34.09335,-118.20635,26187122,1613525416,0,0.43,MATCHED
767751,34.09335,-118.20616,21507076,138283524,0,3.64,MATCHED
767610,34.18555,-118.21766,1832672826,79367034,0,2.58,MATCHED
773880,34.15367,-118.3484,122459534,7668301080,0,1.56,MATCHED
764766,34.13338,-118.3535,35361266,2351743393,0,0.76,MATCHED
717497,34.15685,-118.41456,361119302,361120646,0,1.29,MATCHED
717490,34.14745,-118.37124,6354846118,167930034,0,1.66,MATCHED
717491,34.14761,-118.3711,82481755,701954220,0,2.5,MATCHED
717492,34.15459,-118.37935,361468272,6354846133,0,0.72,MATCHED
717493,34.15434,-118.39618,35361246,6355812958,0,1.51,MATCHED
765176,34.13286,-118.35135,2351758770,2351758627,0,2.59,MATCHED
717498,34.15571,-118.43273,29409683,305537102,0,1.81,MATCHED
717499,34.15666,-118.44808,370197589,370197605,0,0.6,MATCHED
765171,34.16789,-118.46896,305532520,26819502,0,1.72,MATCHED
718064,34.11296,-118.24489,1782812735,1792481492,0,1.22,MATCHED
718066,34.12302,-118.22889,1783926563,17040712,0,1.7,MATCHED
765164,34.07898,-118.28911,349446224,122492547,0,0.24,MATCHED
769431,34.15843,-118.45664,59832561,35363002,0,0.99,MATCHED
769430,34.15818,-118.45658,701936723,370197589,0,1.58,MATCHED
717610,34.17886,-118.39497,362409104,1957285381,0,5.99,MATCHED
767053,34.17091,-118.46775,7118722407,305532520,0,0.53,MATCHED
767621,34.13486,-118.22969,361523299,1376737820,0,1.61,MATCHED
772596,34.17126,-118.50495,1733962057,1733962055,0,2.2,MATCHED
772597,34.17109,-118.50495,305705199,305705841,0,0.64,MATCHED
767350,34.18011,-118.47045,701899548,7118722407,0,1.69,MATCHED
767351,34.18022,-118.47022,35317437,293826694,0,2.82,MATCHED
716571,34.2,-118.40337,361449050,361450999,0,3.57,MATCHED
773023,34.05773,-118.24348,1614922982,1614923029,0,2.07,MATCHED
767585,34.16556,-118.22432,19828340,19828341,0,4.37,MATCHED
773024,34.05759,-118.24357,35361362,319435660,0,2.83,MATCHED
717483,34.11684,-118.33698,2351758719,2351758730,0,0.51,MATCHED
718379,34.14224,-118.27812,298583385,298585645,0,3.34,MATCHED
717481,34.10634,-118.32826,349220787,1836345664,0,1.62,MATCHED
717480,34.10478,-118.32497,35362974,1717816401,0,2.5,MATCHED
717486,34.12974,-118.34809,2351743393,74671700,0,3.42,MATCHED
764120,34.20164,-118.40366,1658558860,1957285395,0,1.64,MATCHED
772151,34.16928,-118.49872,1733962057,1733962055,0,7.28,MATCHED
718371,34.09017,-118.23849,269596401,14995402,0,9.76,MATCHED
717489,34.13876,-118.36438,167930034,269389405,0,6.09,MATCHED
717488,34.13561,-118.36006,338835931,35361266,0,1.6,MATCHED
717818,34.1722,-118.46753,26819499,35317437,0,3.43,MATCHED
718076,34.16339,-118.2253,79367034,10652200,0,4.43,MATCHED
718072,34.1491,-118.2257,598384097,361523277,0,0.42,MATCHED
767455,34.14347,-118.22704,361524115,361523254,0,5.7,MATCHED
767454,34.14352,-118.22733,361523277,361523293,0,0.53,MATCHED
761599,34.14226,-118.27786,77741551,298585779,0,1.31,MATCHED
717099,34.15648,-118.24674,20854038,13890126,0,0.09,MATCHED
773916,34.15247,-118.2852,1686584226,1686584229,0,2.43,MATCHED
716968,34.16588,-118.29809,1884813453,26740008,0,0.32,MATCHED
769467,34.15451,-118.39699,299532356,299534703,0,0.72,MATCHED
717576,34.15559,-118.2957,338935762,7664051915,0,0.86,MATCHED
